CC(C)(C)n1nc(-c2ccc(Cl)cc2)c2c(N)ncnc12;InChI=1S/C15H16ClN5/c1-15(2,3)21-14-11(13(17)18-8-19-14)12(20-21)9-4-6-10(16)7-5-9/h4-8H,1-3H3,(H2,17,18,19);PBBRWFOVCUAONR-UHFFFAOYSA-N;50142887;1-(tert-butyl)-3-(4-chlorophenyl)-4-aminopyrazolo[3,4-d]pyrimidine::1-tert-Butyl-3-(4-chloro-phenyl)-1H-pyrazolo[3,4-d]pyrimidin-4-ylamine::1-tert-butyl-3-(4-chlorophenyl)-1H-pyrazolo[3,4-d]pyrimidin-4-amine::4-Amino-5-(4-chlorophenyl)-7-(t-butyl)pyrazolo[3,4-d]pyrimidine::4-amino-5-(4-chlorophenyl)-7-(tert-butyl)pyrazolo[3,4-d]pyrimidine::AG-1879::CHEMBL406845::PP2::cid_4878;0.5;9.30102999566398
Cc1cc(Nc2ncc(s2)C(=O)Nc2c(C)cccc2Cl)nc(C)n1;InChI=1S/C17H16ClN5OS/c1-9-5-4-6-12(18)15(9)23-16(24)13-8-19-17(25-13)22-14-7-10(2)20-11(3)21-14/h4-8H,1-3H3,(H,23,24)(H,19,20,21,22);WFRLFWGASBLYTC-UHFFFAOYSA-N;13268;BMS-354825 2-Heteroarylamino-thiazole Analog 12m::CHEMBL364623::N-(2-Chloro-6-methylphenyl)-2-[(2,6-dimethyl-4-pyrimidinyl)-amino]-1,3-thiazole-5-carboxamide::N-(2-chloro-6-methylphenyl)-2-[(2,6-dimethylpyrimidin-4-yl)amino]-1,3-thiazole-5-carboxamide;1;9
COc1cc(Nc2c(cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)C#N)c(Cl)cc1Cl;InChI=1S/C26H29Cl2N5O3/c1-32-6-8-33(9-7-32)5-4-10-36-25-13-21-18(11-24(25)35-3)26(17(15-29)16-30-21)31-22-14-23(34-2)20(28)12-19(22)27/h11-14,16H,4-10H2,1-3H3,(H,30,31);UBPYILGKFZZVDX-UHFFFAOYSA-N;4552;4-[(2,4-Dichloro-5-methoxyphenyl)amino]-6-methoxy-7-[3-(4-methyl-1-piperazinyl)propoxy]-3-quinolinecarbonitrile::4-[(2,4-dichloro-5-methoxyphenyl)amino]-6-methoxy-7-[3-(4-methylpiperazin-1-yl)propoxy]quinoline-3-carbonitrile::BOSUTINIB::CHEMBL288441::SKI-606;1.8;8.74472749489669
CN[C@@H]1CC2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4CNC(=O)c4c4c5ccccc5n2c4c13;InChI=1S/C28H26N4O3/c1-28-26(34-3)17(29-2)12-20(35-28)31-18-10-6-4-8-14(18)22-23-16(13-30-27(23)33)21-15-9-5-7-11-19(15)32(28)25(21)24(22)31/h4-11,17,20,26,29H,12-13H2,1-3H3,(H,30,33)/t17-,20?,26-,28+/m1/s1;HKSZLNNOFSGOKW-ZGQXJOJZSA-N;50059889;(staurosporine)3-methoxy-2-methyl-4-methylamino-(2S,3S,4S,6S)-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14(28),15(19),20(27),21(26),22,24-nonaen-16-one::12-[3-methoxy-2,6-dimethyl-4-methylamino-(2S,3R,4R,6S)-tetrahydro-2H-2-pyranyl]-6,7,12,13-tetrahydro-5H-indolo[2,3-a]pyrrolo[3,4-c]carbazol-5-one::12-[3-methoxy-6-methyl-4-methylamino-(2S,3R,4R,6S)-tetrahydro-2H-2-pyranyl]-6,7,12,13-tetrahydro-5H-indolo[2,3-a]pyrrolo[3,4-c]carbazol-5-one::15,16-dimethoxy-15-methyl-17-methylamino-(15S)-4,14,20-triazaheptacyclo[12.12.2.02,6.07,28.08,13.020,27.021,26]octacosa-1(27),2(6),7(28),8(13),9,11,21(26),22,24-nonaen-3-one::2-Amino-4-(2-amino-2-phenyl-ethyl)-6-(2-hydroxy-phenyl)-nicotinonitrile::3-methoxy-2-methyl-4-methylamino-(2R,3S,4S)-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8(13),9,11,14,19,21(26),22,24,27-nonaen-16-one::3-methoxy-2-methyl-4-methylamino-(2R,3S,4S)-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14(28),15(19),20(27),21(26),22,24-nonaen-16-one::3-methoxy-2-methyl-4-methylamino-(2R,3S,4S,6S)-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8(13),9,11,14(28),15(19),20(27),21(26),22,24-nonaen-16-one::3-methoxy-2-methyl-4-methylamino-(2R,3S,4S,6S)-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8(13),9,11,14(28),15(19),20(27),21(26),22,24-nonaen-16-one(Staurosporine)::3-methoxy-2-methyl-4-methylamino-(2R,3S,4S,6S)-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8(13),9,11,14(28),15(19),20(27),21,23,25-nonaen-16-one::3-methoxy-2-methyl-4-methylamino-(2R,3S,4S,6S)-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8(13),9,11,14,19,21(26),22,24,27-nonaen-16-one::3-methoxy-2-methyl-4-methylamino-(2R,3S,4S,6S)-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14(28),15(19),20(27),21(26),22,24-nonaen-16-one::3-methoxy-2-methyl-4-methylamino-(2S,3R,4R)-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8(13),9,11,14(28),15(19),20(27),21(26),22,24-nonaen-16-one::3-methoxy-2-methyl-4-methylamino-(2S,3R,4R)-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8(13),9,11,14,19,21(26),22,24,27-nonaen-16-one::3-methoxy-2-methyl-4-methylamino-(2S,3R,4R,6R)-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8(13),9,11,14(28),15(19),20(27),21(26),22,24-nonaen-16-one::3-methoxy-2-methyl-4-methylamino-(2S,3R,4R,6R)-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14(28),15(19),20(27),21(26),22,24-nonaen-16-one::3-methoxy-2-methyl-4-methylamino-(2S,3S,4S,6R)-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8(13),9,11,14(28),15(19),20(27),21,23,25-nonaen-16-one::3-methoxy-2-methyl-4-methylamino-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8(13),9,11,14(28),15(19),20(27),21(26),22,24-nonaen-16-one::3-methoxy-2-methyl-4-methylamino-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8(13),9,11,14,19,21(26),22,24,27-nonaen-16-one::3-methoxy-4-methylamino-(2R,3S,4S,6S)-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8(13),9,11,14(28),15(19),20(27),21(26),22,24-nonaen-16-one::3-methoxy-4-methylamino-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8(13),9,11,14(28),15(19),20(27),21(26),22,24-nonaen-16-one::8,12-Epoxy-1H,8H-2,7b,12a-triazadibenzo(a,g)cyclonona(cde)trinden-1-one,2,3,9,10,11,12-hexahydro-9-methoxy-8-methyl-10-(methylamino)-, (8alpha,9beta,10beta,12alpha)-(+)-::AM-2282::CHEMBL162::Indolocarbazole nitrogen derivative::Isoindolinone Urea derivative::staurosporin;2;8.69897000433602
CC(=O)Nc1cc(Oc2ccc3n(C)c(Nc4cccc(c4)C(C)(C)C)nc3c2)ccn1;InChI=1S/C25H27N5O2/c1-16(31)27-23-15-20(11-12-26-23)32-19-9-10-22-21(14-19)29-24(30(22)5)28-18-8-6-7-17(13-18)25(2,3)4/h6-15H,1-5H3,(H,28,29)(H,26,27,31);WSBZFFNSBMBYQA-UHFFFAOYSA-N;50026679;CHEMBL3335371;2;8.69897000433602
COc1cc(ccc1NC(=O)OC(C)(C)C)-c1nn(CCN2CCC(CC2)N(C)C)c2ncnc(N)c12;InChI=1S/C26H38N8O3/c1-26(2,3)37-25(35)30-19-8-7-17(15-20(19)36-6)22-21-23(27)28-16-29-24(21)34(31-22)14-13-33-11-9-18(10-12-33)32(4)5/h7-8,15-16,18H,9-14H2,1-6H3,(H,30,35)(H2,27,28,29);GMPQGWXPDRNCBL-UHFFFAOYSA-N;50184767;CHEMBL3824089;2.1;8.67778070526608
Cc1cc(Nc2nc3ccc(cc3s2)C(=O)Nc2c(C)cccc2Cl)nc(NCCO)n1;InChI=1S/C22H21ClN6O2S/c1-12-4-3-5-15(23)19(12)29-20(31)14-6-7-16-17(11-14)32-22(26-16)28-18-10-13(2)25-21(27-18)24-8-9-30/h3-7,10-11,30H,8-9H2,1-2H3,(H,29,31)(H2,24,25,26,27,28);TVNZRDDQMBWCDE-UHFFFAOYSA-N;50131117;2-[2-(2-Hydroxy-ethylamino)-6-methyl-pyrimidin-4-ylamino]-benzothiazole-6-carboxylic acid (2-chloro-6-methyl-phenyl)-amide::CHEMBL88009;4;8.39794000867204
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4CNC(=O)c4c4c5ccccc5n2c4c13;InChI=1S/C28H26N4O3/c1-28-26(34-3)17(29-2)12-20(35-28)31-18-10-6-4-8-14(18)22-23-16(13-30-27(23)33)21-15-9-5-7-11-19(15)32(28)25(21)24(22)31/h4-11,17,20,26,29H,12-13H2,1-3H3,(H,30,33)/t17-,20-,26-,28+/m1/s1;HKSZLNNOFSGOKW-FYTWVXJKSA-N;2579;(2S,3R,4R,6R)-3-methoxy-2-methyl-4-(methylamino)-29-oxa-1,7,17-triazaoctacyclo[12.12.2.1^{2,6}.0^{7,28}.0^{8,13}.0^{15,19}.0^{20,27}.0^{21,26}]nonacosa-8(13),9,11,14(28),15(19),20(27),21(26),22,24-nonaen-16-one::CHEMBL388978::Staurosporin, 4::Staurosporine::Staurosporine, 8::US9206188, Staurosporine::US9226923, Staurosporine;4.4;8.35654732351381
CNC(=O)c1cc(Oc2ccc3n(C)c(Nc4cccc(c4)C(C)(C)C)nc3c2)ccn1;InChI=1S/C25H27N5O2/c1-25(2,3)16-7-6-8-17(13-16)28-24-29-20-14-18(9-10-22(20)30(24)5)32-19-11-12-27-21(15-19)23(31)26-4/h6-15H,1-5H3,(H,26,31)(H,28,29);SILANKVZJSUJHJ-UHFFFAOYSA-N;26028;4-({2-[(3-tert-butylphenyl)(methyl)amino]-1H-1,3-benzodiazol-5-yl}oxy)-N-methylpyridine-2-carboxamide::arylaminobenzimidazole, 23;5;8.30102999566398
CC1(C)CC(CC(C)(C)N1[O])NC(=O)c1cccc(c1)-c1cc2nccc(Nc3cccc(O)c3)n2n1;InChI=1S/C28H31N6O3/c1-27(2)16-21(17-28(3,4)34(27)37)31-26(36)19-8-5-7-18(13-19)23-15-25-29-12-11-24(33(25)32-23)30-20-9-6-10-22(35)14-20/h5-15,21,30,35H,16-17H2,1-4H3,(H,31,36);GNIYUURCQFKRCB-UHFFFAOYSA-N;50378568;CHEMBL1163016;5;8.30102999566398
